#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	A1E02M01.mp.profile	A1E02M02.mp.profile	A1E02M04.mp.profile	A1E02M05.mp.profile	A1E02M07.mp.profile	A1E02M08.mp.profile	A1E02P1.mp.profile	A1E02P2.mp.profile	A1E03M01.mp.profile	A1E03M02.mp.profile	A1E03M05.mp.profile	A1E03M06.mp.profile	A1E03P1.mp.profile	A1E03P2.mp.profile	A1E03P3.mp.profile	A1E03P4.mp.profile	A1E04M01.mp.profile	A1E04M02.mp.profile	A1E04M04.mp.profile	A1E04M05.mp.profile	A1E04M07.mp.profile	A1E04M08.mp.profile	A1E04P1.mp.profile	A1E04P2.mp.profile	A1E04P3.mp.profile	A1E04P4.mp.profile	A1E09F1.mp.profile	A1E09F2.mp.profile	A1E09M01.mp.profile	A1E09M02.mp.profile	A1E09M06.mp.profile	A1E09M07.mp.profile	A1E09M1.mp.profile	A1E09M2.mp.profile	A1E10F.mp.profile	A1E10M01.mp.profile	A1E10M02.mp.profile	A1E10M04.mp.profile	A1E10M05.mp.profile	A1E10M.mp.profile	A1E12F.mp.profile	A1E12M01.mp.profile	A1E12M02.mp.profile	A1E12M05.mp.profile	A1E12M06.mp.profile	A1E12M.mp.profile	Wild116.mp.profile	X608.mp.profile
k__Bacteria|p__Firmicutes|c__CFGB9990	0.09692	0.04995	0.03235	0.07228	0.0	0.0	0.09475	0.13872	0.00842	0.08082	0.2475	0.28209	0.00397	0.04151	0.00164	0.0431	0.13014	0.22624	0.33251	0.41449	0.0285	0.04022	0.02289	0.04821	0.08543	0.0	0.38683	0.06996	0.07483	0.02153	0.23164	0.03474	0.0	0.29757	0.1383	0.05012	0.09404	0.09184	0.0	0.0	0.00632	0.00401	0.00458	0.0	0.16536	0.0	0.07467	0.00829
k__Bacteria|p__Firmicutes|c__CFGB9510	0.08891	0.12051	0.0	0.01639	0.0	0.05057	0.0	0.0	0.05631	0.0	0.08477	0.00059	0.0	0.02244	0.01421	0.03962	0.0	0.00385	0.0	0.07753	0.06232	0.0	0.04324	0.00429	0.00692	0.01785	0.0	0.0	0.03112	0.03002	0.01223	0.05027	0.0	0.0	0.0	0.00124	0.03597	0.0	0.0	0.0	0.0	0.38463	0.09596	0.00283	0.07157	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9512	0.07026	0.06935	0.04269	0.07825	0.05396	0.11487	0.05826	0.10723	0.05441	0.00953	0.04806	0.05285	0.0	0.0	0.0	0.0	0.01667	0.11401	0.05199	0.12211	0.04705	0.03057	0.1645	0.12298	0.28096	0.18357	0.0	0.0	0.03381	0.0173	0.01494	0.01348	0.0	0.0	0.05021	0.02307	0.03512	0.02343	0.0	0.0	0.06982	0.17175	0.06771	0.01681	0.01877	0.02295	0.0	0.05237
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.04042	0.04714	0.1894	0.33268	0.20482	0.08165	0.11839	0.66766	0.29438	0.13894	0.04503	0.0	0.08327	0.17604	0.12749	0.04123	0.17404	0.00884	0.0	0.0	0.47612	0.12616	0.11654	0.53097	0.15754	0.12011	0.02545	0.082	0.5987	0.39414	0.05173	0.31583	0.02135	0.00584	0.06509	1.60967	0.55518	3.82062	3.40821	0.0	0.1097	0.02823	0.01445	0.44554	0.74035	1.20984	0.79719	0.76533
k__Bacteria|p__Firmicutes|c__CFGB9836	0.02314	0.0	0.0	0.0	0.01456	0.0	0.28671	0.27588	0.0	0.0	0.00145	0.0	0.0	0.0	0.0	0.0	0.07798	0.03593	0.02009	0.02261	0.10107	0.13088	0.0	0.01903	0.01492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59711	0.05545	0.04254	0.02118	0.03631	0.07296	0.0	0.01489	0.0	0.0036	0.0	0.0	0.0	0.44225
k__Bacteria|p__Firmicutes|c__CFGB9618	0.01532	0.00173	0.0	0.02465	0.02699	0.0	0.0	0.0	0.0	0.01181	0.31343	0.11416	0.14239	0.1569	0.01273	0.05574	0.01822	0.0195	0.0	0.05236	0.01631	0.01387	0.0	0.0	0.01375	0.0	0.03928	0.00554	0.00364	0.00015	0.0	0.02206	0.0	0.04898	0.0	0.0	0.0	0.0	0.0	0.0	0.00939	0.0	0.0	0.00777	0.0	0.08212	0.28569	0.0
k__Bacteria|p__Firmicutes|c__CFGB9639	0.00125	0.00704	0.0	0.0	0.0	0.0	0.18805	0.24598	0.0	0.0122	0.01683	0.01262	0.0	0.0	0.0	0.0	0.38799	0.04275	0.07678	0.02622	0.00019	0.0	0.0	0.01114	0.02242	0.0	0.0	0.0	0.01	0.00135	0.02922	0.0	0.0	0.0	0.07568	0.06793	0.05439	0.01285	0.02548	0.0	0.08809	0.0	0.0	0.0	0.03768	0.02415	0.0	0.42078
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	56.82144	65.03576	75.74032	52.79582	43.30078	67.16082	58.88815	42.0137	59.63362	54.33678	63.18248	55.57543	60.32168	28.74427	75.79903	65.76912	14.49131	41.85255	29.96655	39.53989	61.10276	71.3384	75.85514	70.1221	60.22586	70.94886	46.12455	75.05877	39.78658	59.67017	52.46252	50.97534	70.02329	53.59751	64.39798	23.73718	47.25962	25.54885	28.79191	82.52524	40.15672	73.57738	68.85215	50.57001	35.24019	51.09121	34.18722	33.10282
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	11.17499	4.80648	3.92282	14.2	5.16082	10.3727	6.24798	3.91885	9.33463	6.41488	3.04583	1.75936	6.04511	8.64341	6.05584	4.00953	4.70249	0.87296	0.38519	4.43342	5.4007	6.68043	4.63655	1.32473	2.30912	4.36233	1.53503	2.29135	6.01293	4.29072	1.39541	1.39606	7.1108	2.23761	0.90763	1.764	1.25025	3.58554	1.30108	1.17684	1.10243	2.05027	5.30428	6.6535	2.23186	4.99723	5.60084	2.28581
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	11.16136	10.18136	5.21276	10.55828	10.02458	6.77877	9.58778	21.30135	8.08707	11.75482	11.14423	17.82882	14.748	18.66555	6.23057	10.12145	29.10934	21.7204	40.18958	23.25753	11.72466	6.29174	4.851	7.416	10.98571	3.67629	23.60261	5.12742	22.67148	11.98916	18.42457	7.4339	4.44644	20.42144	7.45678	27.42667	19.40942	22.20975	20.05611	3.2061	17.39485	6.39411	7.73759	9.54371	15.91648	12.67304	17.81279	19.01855
