BinLab	Quality	Kingdom	Phylum	Class	Order	Family	Genus	Species
DonA_bin_119	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_12	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonA_bin_120	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_121	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	
DonA_bin_122	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_123	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
DonA_bin_124	MAG	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia caecimuris
DonA_bin_125	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_126	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_127	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_128	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonA_bin_129	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_13	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_130	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_131	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_132	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_133	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae		
DonA_bin_14	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	
DonA_bin_15	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_16	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
DonA_bin_17	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1448	
DonA_bin_18	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_19	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	
DonA_bin_2	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_20	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_21	MAG	d__Bacteria	Firmicutes	Bacilli	Haloplasmatales	Turicibacteraceae	Turicibacter	Turicibacter sp002311155
DonA_bin_22	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	
DonA_bin_23	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
DonA_bin_24	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp002490635
