FIELD_LABELS	A	AB	AB-2	AB-3	AB-4	AB-5	AB-6	AB-7	AB-8	AB-9	AB0	ABAB	ABAB-2	ABAB-3	ABAB-4	ABAB-5	ABAB-6	ABAB-7	ABAB-8	ABAB-9	ABAB0	B	BA	BA-2	BA-3	BA-4	BA-5	BA-6	BA-7	BA-8	PA	PA-2	PA-3	PAB	PAB-2	PAB-3	PAB-4	PAB-5	PAB-6	PB	PB-2	PB-3	PB-4	PB-5	PB-6	PB-7	PB-8
FIELD_TREE	((B:142.3955784,(PB-2:139.5193445,((PB-5:76.02154579,PB-8:76.02154579):50.6651109,((PB:83.57877033,PB-4:83.57877033):33.33712408,(PB-3:102.1277802,(PB-6:71.86144846,PB-7:71.86144846):30.26633171):14.78811424):9.770762289):12.83268783):2.876233903):160.108013,((PA-2:127.7617125,(A:118.1359852,(PA:97.87470741,PA-3:97.87470741):20.26127781):9.625727274):86.96870461,(((BA-7:127.2221097,BA-8:127.2221097):37.35176258,((BA:105.4371149,BA-2:105.4371149):44.59537833,(BA-3:115.5984187,BA-4:115.5984187):34.43407456):14.54137905):27.47329182,(((AB-5:159.628519,(AB-8:96.92471331,(AB-9:81.50281184,(AB-7:79.30488005,AB0:79.30488005):2.197931791):15.42190146):62.70380568):15.79913428,(((PAB-5:109.3299731,PAB-6:109.3299731):41.96741026,((PAB-2:82.0926705,PAB-3:82.0926705):53.38262317,(PAB:105.7644425,PAB-4:105.7644425):29.71085116):15.82208973):15.4192982,(((ABAB-7:111.6617077,ABAB-8:111.6617077):16.29105802,(ABAB-9:114.002161,(ABAB-5:87.35916237,ABAB-6:87.35916237):26.64299863):13.95060475):28.62179485,(AB-6:128.36994,(AB-4:107.5344726,(AB-3:102.300002,(AB:76.06679417,AB-2:76.06679417):26.23320781):5.234470609):20.83546744):28.20462057):10.14212099):8.710971663):10.05434819,((BA-5:99.4395892,BA-6:99.4395892):82.71825963,((ABAB-3:129.8309142,(ABAB-2:110.0470767,ABAB-4:110.0470767):19.78383741):28.43180625,(ABAB:145.1259023,ABAB0:145.1259023):13.13681808):23.89512842):3.324152614):6.565162668):22.68325299):87.77317435);
DATA
DonA_bin_29	82.12	41.54	35.5	12.6	22.59	41.43	27.46	26.59	22.39	17.31	35.37	32.76	65.41	48.69	41.1	27.11	24.76	10.85	11.98	20.3	14.96	10.09	22.56	33.06	20.38	40.13	48.33	29.81	26.15	13.41	39.84	31.68	32.99	11.21	61.64	62.31	17.87	63.53	44.68	8.66	5.11	6.62	5.07	8.89	2.81	1.41	5.71
DonA_bin_3	54.53	98.25	90.5	3.01	99.27	8.16	2.87	9.88	0.76	26.36	8.36	9.05	3.55	10.6	48.13	42.18	4.42	9.35	91.38	1.19	69.64	0.18	71.48	18.85	71.28	51.14	49.6	64.96	10.4	2.69	71.01	63.63	14	6.65	49.9	43.88	15.28	30.57	12.64	0.22	0.33	0.26	0.77	0.19	0.14	0.1	0.18
DonA_bin_31	26.63	45.46	50.24	21.27	44.55	38.8	21.31	13.37	22.98	20.99	38.47	2.49	13.32	4.44	3.84	8.61	6.18	2.89	2.96	4.1	3.24	23.94	24.5	16.8	10.47	18.7	16.5	4.74	2.81	5.96	52.35	49.64	41.53	5.69	8.46	7.27	5.73	2.8	10.64	16.17	11.1	13.93	14.1	8.99	4.88	4.3	11.39
DonA_bin_32	99.19	22.03	14.78	16.52	96.88	72.36	31.08	64.97	44.02	50.94	50.92	98.82	68.26	49.43	52.56	49.88	14.24	90.82	29.77	42.69	98.83	39.97	47.72	80.81	96.31	71.57	23.65	35.61	42.31	76.43	87.76	97.25	55.7	37.24	42.2	65.84	48.67	78.78	82.19	33.31	37.85	24.99	32.28	33.46	29.24	23.98	32.67
DonA_bin_33	86.77	78.59	50.71	87.09	82.58	81.66	44.7	97.53	55.43	87.08	91.88	68.17	4.03	2.53	11.55	67.94	27.51	5.36	2.75	57.98	95.39	20.81	80.06	36.59	74.75	13.97	9.56	17.16	47.53	53.42	79.94	47.81	45.3	50.9	6	2.57	58.93	79.56	80.08	12.09	25.23	12.36	17.91	0.29	11.18	7.27	11
DonA_bin_34	86.92	2.46	2.01	5.76	15.86	37.18	7.96	25.57	9.25	14.72	18.88	13.49	12.68	28.39	7.32	19.62	10.44	11.79	13.25	43.29	50.58	0.87	60.45	71.06	35.21	15.92	77.57	83.09	37.33	56.71	23.84	21.23	55.89	19.2	19.69	16.38	10.96	28.46	23.83	0.31	0.27	0.28	0.37	0.19	0.44	0.54	0.26
DonA_bin_36	80.61	30.32	49.31	44.21	8.46	55.86	29.16	85.19	78.04	46.54	83.83	83.12	72.53	67.8	70.29	45.59	40.93	32.33	37.2	54.61	41.38	1.48	42.83	38.76	29.25	37.34	36.73	30.36	48.87	23.31	46.98	85.79	58.42	8.19	29.7	32.76	10.32	63.57	41.36	1.32	1.64	0.78	1.15	1.35	0.87	0.74	1.26
DonA_bin_37	47.63	48.87	36.44	37.58	26.42	6.12	43.84	10.15	20.57	9.08	3.05	3.3	20.36	7.29	35.07	16.59	31.45	34.62	14.73	16.15	45.16	0.19	37.51	22.24	49.33	22.36	5.08	3.79	28.13	26.13	74.66	79.54	89.95	33.41	63.67	61.37	6.79	39.04	60.23	0.14	0.13	0.1	0.15	0.14	0.08	0.08	0.09
DonA_bin_38	94.4	67.61	62.59	48.07	71.68	62.93	80.43	3.82	27.91	33.65	25.01	12.67	58.13	45.53	58.03	58.79	70.51	92.99	93.52	61.28	26.49	0.46	89.95	76.65	86.22	60.98	23.13	55.42	75.05	65.76	99.98	99.85	99.91	26.84	89.17	63.96	22.87	45.78	48.15	1.13	0.76	0.41	0.46	0.51	0.58	0.65	0.41
DonA_bin_39	94	82.16	64.03	67.58	80.07	97.58	71.81	95.19	72.76	99.63	98.8	17.3	6.11	4.11	8.84	93.97	71.91	50.48	58.11	72.61	73.86	34.81	14.24	22.02	4.16	8.53	57.74	65.34	36.94	43.5	10.59	76.42	35.29	51.09	44.8	26.16	23.3	91.7	92.38	34.98	29.84	24.13	15.02	48.55	15.68	27.73	7.05
DonA_bin_4	5.99	3.5	0.8	1.18	7.45	10.78	13.34	1.97	1.4	2.08	1.79	1.15	0.95	0.4	0.36	3.15	3.63	0.37	0.21	0.21	0.57	0.21	0.28	0.36	0.29	0.28	0.55	0.4	0.19	0.24	7.72	72.97	5.05	6.02	9.3	5.71	2.15	0.55	82.63	0.14	2.61	0.05	0.05	0.13	0.41	1.68	0.09
DonA_bin_40	84.63	57.29	65.44	42.99	80.58	49.38	41.6	85.29	88.35	88.08	82.27	72.3	46.49	24.34	74.91	60.43	63.34	75.13	67.4	68.76	81.71	0.31	55	56.71	45.68	28.58	86.47	77.38	49.73	77.94	51.56	67.2	76.02	62.39	53.79	59.7	68	56.44	83.01	0.3	0.37	0.16	0.18	0.26	0.15	0.26	0.28
DonA_bin_41	40.4	5.67	10.42	10.86	8.71	38.96	11.04	43.54	15.03	27.33	34.66	8.69	19.43	22.3	11.96	18.02	13.39	14.67	22.26	9.28	9.4	2.29	22.33	12.85	9.75	21.32	17.18	23.23	17.92	16.3	24.15	20.75	51.15	12.99	20.38	10.25	6.06	22.91	19.14	1.33	2.08	0.54	0.21	0.56	1.85	1.32	0.46
DonA_bin_44	46.35	5.66	0.36	0.17	0.85	3.64	1.17	8.04	7.25	5.8	7.98	9.72	7.27	4.27	5	16.03	22.28	4.68	0.58	2.29	0.39	0.16	0.14	0.2	1.91	0.3	0.38	0.26	0.15	0.22	40.02	32.95	63.03	0.21	6.04	4	0.26	0.35	0.27	0.11	0.14	0.07	0.09	0.13	0.09	0.07	0.08
DonA_bin_46	88.84	99.91	99.85	98.72	99.52	99.88	98.02	96.39	99.78	98.21	87.65	93.91	99.9	99.87	99.86	96.52	99.79	99.95	99.92	99.09	99.61	5.14	12.11	8.96	16.28	28.8	99.53	99.87	13.84	9.61	95.69	99.37	92.5	62.12	88.56	88.65	37.77	52.59	64.42	10.95	20.08	9.09	13.53	15.9	10.8	8.04	16.43
DonA_bin_47	50.35	0.91	0.62	0.6	0.79	0.57	0.55	66.67	84.25	74.3	79.54	50.22	87.45	82.09	81.12	83.38	85.23	90.1	90.08	82.93	70.96	0.38	0.54	0.56	86.73	64.83	88.61	80.07	0.74	0.72	0.42	0.61	88.4	78.44	92.63	86.8	77.81	60.49	74.6	0.19	0.24	0.17	0.23	0.19	0.16	0.14	0.2
DonA_bin_48	99.52	87.8	86.69	85.31	96.85	80.67	96.14	84.04	86.63	94.97	92.33	34.74	91.37	79.69	74.04	74.04	85.21	76.45	89.57	79.36	83.27	0.64	91.84	82.05	81.61	88.69	99.78	99.46	61.12	84.25	93	91.72	98.86	85.72	98.74	89.68	90.29	81.74	92.09	0.41	0.25	0.28	0.31	0.26	0.32	0.47	0.22
DonA_bin_49	17.89	39.3	19.08	22.84	34.3	69.26	35.29	3.56	6.2	9.58	9.27	5.22	7.56	11.56	10.96	34.93	78.38	20.15	28.18	19.04	9.5	0.15	1.74	0.85	36.47	4.06	2.46	2.47	0.63	0.38	34.53	58.22	36.73	54.86	19.58	7.63	30.28	3.13	6.27	0.3	0.3	0.15	0.41	0.33	0.24	0.1	0.46
