Sample	raw_count	Group	Category	Donor	feature	Cage	order	log_count	feature_size	z_count	prop_count	zprop_count
A1E10M05	2	AB	Pup	DonorB	MAG	cage5	second	0.693147180559945	27	-1.5038277995387	0.0740740740740741	-1.64275850008711
A1E12M01	9	ABAB	Pup	DonorB	MAG	cage12	mixed	2.19722457733622	27	-0.270563160586462	0.333333333333333	-0.0746310649533526
A1E12M02	6	ABAB	Pup	DonorB	MAG	cage12	mixed	1.79175946922805	27	-0.799105148708852	0.222222222222222	-0.746685680010677
A1E12M05	7	ABAB	Pup	DonorB	MAG	cageC	mixed	1.94591014905531	27	-0.622924486001388	0.259259259259259	-0.522667474991569
A1E12M06	6	ABAB	Pup	DonorB	MAG	cageC	mixed	1.79175946922805	27	-0.799105148708852	0.222222222222222	-0.746685680010677
A1E02M01	37848	AB	Pup	DonorA	Gene	cageP	first	10.541333417311	96857	0.987967851208417	0.390761638291502	0.955353261335245
A1E02M02	36114	AB	Pup	DonorA	Gene	cageP	first	10.4944358807758	96857	0.816635256843073	0.372858957019111	0.77134682512353
A1E02M04	27839	AB	Pup	DonorA	Gene	cageE	first	10.234193194263	96857	-0.000998663787390528	0.28742372776361	-0.106769241573088
A1E02M05	38699	AB	Pup	DonorA	Gene	cageE	first	10.5635690388907	96857	1.07205322479833	0.399547786943639	1.04565861151758
A1E02M07	39710	AB	Pup	DonorA	Gene	cage312	first	10.5893583241253	96857	1.17194783431584	0.409985855436365	1.15294264093514
A1E02M08	33013	AB	Pup	DonorA	Gene	cage312	first	10.4046567022688	96857	0.510232503021313	0.340842685608681	0.442278798195892
A1E03M01	28861	BA	Pup	DonorA	Gene	cage364	second	10.2702464817622	96857	0.0999828307001422	0.297975365745377	0.00168207204189005
A1E03M02	32640	BA	Pup	DonorA	Gene	cage364	second	10.393293809078	96857	0.473377221765099	0.336991647480306	0.402697252228781
A1E03M05	32014	BA	Pup	DonorA	Gene	cage169	second	10.3739285861066	96857	0.411523586198372	0.330528511103999	0.336268169720976
A1E03M06	23189	BA	Pup	DonorA	Gene	cage169	second	10.0514333072844	96857	-0.46045458293321	0.239414807396471	-0.600212106846716
A1E04M01	39948	ABAB	Pup	DonorA	Gene	cage33	mixed	10.595333887363	96857	1.19546407275814	0.412443086199242	1.17819842629753
A1E04M02	37728	ABAB	Pup	DonorA	Gene	cage33	mixed	10.5381578033371	96857	0.976110924262719	0.38952269841106	0.942619251908828
A1E04M04	33988	ABAB	Pup	DonorA	Gene	cage44	mixed	10.4337628001234	96857	0.606570034455113	0.350909072137275	0.545742624785523
A1E04M05	41029	ABAB	Pup	DonorA	Gene	cage44	mixed	10.6220344127288	96857	1.30227522299398	0.423603869622227	1.29291062788049
A1E04M07	33589	ABAB	Pup	DonorA	Gene	cage41	mixed	10.4219539113981	96857	0.567145752360666	0.346789597034804	0.503402043442689
A1E04M08	30562	ABAB	Pup	DonorA	Gene	cage41	mixed	10.3275126861652	96857	0.268054770155419	0.315537338550647	0.18218665566134
A1E09M01	31725	BA	Pup	DonorA	Gene	cage1	second	10.3648602925826	96857	0.382968153804148	0.327544730891933	0.305600430352357
A1E09M02	30513	BA	Pup	DonorA	Gene	cage1	second	10.3259081012937	96857	0.263213191652592	0.315031438099466	0.176986935145553
A1E09M06	36865	BA	Pup	DonorA	Gene	cage6	second	10.5150178704238	96857	0.890839857978236	0.380612655770879	0.851040500783852
A1E09M07	31808	BA	Pup	DonorA	Gene	cage6	second	10.3674731094563	96857	0.391169194941589	0.328401664309239	0.314408120205628
A1E10M01	50892	AB	Pup	DonorA	Gene	cageNC	first	10.8374610192626	96857	2.27681581020585	0.52543440329558	2.33954008598669
A1E10M02	45678	AB	Pup	DonorA	Gene	cageNC	first	10.7293720605343	96857	1.76163233441525	0.471602465490362	1.7862473764089
A1E10M04	49757	AB	Pup	DonorA	Gene	cage5	first	10.8149064362065	96857	2.16466904284445	0.513716096926397	2.21909758016183
A1E10M05	49689	AB	Pup	DonorA	Gene	cage5	first	10.8135388596203	96857	2.15795011757522	0.513014030994146	2.21188164148686
A1E12M01	29915	ABAB	Pup	DonorA	Gene	cage12	mixed	10.3061153058241	96857	0.204126172373195	0.308857387695262	0.113529121503913
A1E12M02	34634	ABAB	Pup	DonorA	Gene	cage12	mixed	10.4525911375121	96857	0.670399824512791	0.357578698493656	0.61429404219773
A1E12M05	34806	ABAB	Pup	DonorA	Gene	cageC	mixed	10.4575450646941	96857	0.687394753134958	0.35935451232229	0.632546122375593
A1E12M06	38709	ABAB	Pup	DonorA	Gene	cageC	mixed	10.56382741012	96857	1.0730413020438	0.399651031933675	1.04671977896978
