Sample	feature	coverage
A1E02M02	DonB_bin_94	89.66
A1E02M02	DonB_bin_95	1.94
A1E02M02	DonB_bin_96	10.72
A1E02M02	DonB_bin_97	1.19
A1E02M02	DonB_bin_98	70.76
A1E02M02	DonB_bin_99	5.56
A1E02M04	DonA_UnBin	20.09
A1E02M04	DonA_bin_1	37.84
A1E02M04	DonA_bin_10	1.85
A1E02M04	DonA_bin_100	17.57
A1E02M04	DonA_bin_101	33.41
A1E02M04	DonA_bin_102	75.1
A1E02M04	DonA_bin_103	43.52
A1E02M04	DonA_bin_104	34.55
A1E02M04	DonA_bin_105	10.79
A1E02M04	DonA_bin_106	54.27
A1E02M04	DonA_bin_107	8.09
A1E02M04	DonA_bin_108	12.76
A1E02M04	DonA_bin_109	99.48
A1E02M04	DonA_bin_11	13.68
A1E02M04	DonA_bin_110	4.72
A1E02M04	DonA_bin_111	75.36
A1E02M04	DonA_bin_112	41.24
A1E02M04	DonA_bin_113	39.4
A1E02M04	DonA_bin_114	63.02
A1E02M04	DonA_bin_115	2.53
A1E02M04	DonA_bin_116	4.71
A1E02M04	DonA_bin_117	10.98
A1E02M04	DonA_bin_118	19.84
A1E02M04	DonA_bin_119	20.16
A1E02M04	DonA_bin_12	99.93
A1E02M04	DonA_bin_120	22.98
A1E02M04	DonA_bin_121	29.93
A1E02M04	DonA_bin_122	47.81
A1E02M04	DonA_bin_123	84.41
A1E02M04	DonA_bin_124	64.88
A1E02M04	DonA_bin_125	3.28
A1E02M04	DonA_bin_126	34.19
A1E02M04	DonA_bin_127	24.73
A1E02M04	DonA_bin_128	6.89
A1E02M04	DonA_bin_129	22.81
A1E02M04	DonA_bin_13	5.92
A1E02M04	DonA_bin_130	9.35
A1E02M04	DonA_bin_131	9.37
A1E02M04	DonA_bin_132	38.33
A1E02M04	DonA_bin_133	64.16
A1E02M04	DonA_bin_14	38.62
A1E02M04	DonA_bin_15	38.07
A1E02M04	DonA_bin_16	99.79
A1E02M04	DonA_bin_17	13.97
A1E02M04	DonA_bin_18	38.69
A1E02M04	DonA_bin_19	49.74
A1E02M04	DonA_bin_2	62.92
A1E02M04	DonA_bin_20	4.13
A1E02M04	DonA_bin_21	31.19
A1E02M04	DonA_bin_22	7.51
A1E02M04	DonA_bin_23	60.28
A1E02M04	DonA_bin_24	67.55
A1E02M04	DonA_bin_25	10.5
A1E02M04	DonA_bin_26	12.48
A1E02M04	DonA_bin_27	37.25
A1E02M04	DonA_bin_28	87.31
A1E02M04	DonA_bin_29	12.6
A1E02M04	DonA_bin_3	3.01
A1E02M04	DonA_bin_30	99.99
A1E02M04	DonA_bin_31	21.27
A1E02M04	DonA_bin_32	16.52
A1E02M04	DonA_bin_33	87.09
A1E02M04	DonA_bin_34	5.76
A1E02M04	DonA_bin_35	0.29
A1E02M04	DonA_bin_36	44.21
A1E02M04	DonA_bin_37	37.58
A1E02M04	DonA_bin_38	48.07
A1E02M04	DonA_bin_39	67.58
A1E02M04	DonA_bin_4	1.18
A1E02M04	DonA_bin_40	42.99
A1E02M04	DonA_bin_41	10.86
A1E02M04	DonA_bin_42	12.14
A1E02M04	DonA_bin_43	65.22
A1E02M04	DonA_bin_44	0.17
A1E02M04	DonA_bin_45	22.92
A1E02M04	DonA_bin_46	98.72
A1E02M04	DonA_bin_47	0.6
A1E02M04	DonA_bin_48	85.31
A1E02M04	DonA_bin_49	22.84
A1E02M04	DonA_bin_5	5.66
A1E02M04	DonA_bin_50	96.99
A1E02M04	DonA_bin_51	3.8
A1E02M04	DonA_bin_52	94.18
A1E02M04	DonA_bin_53	67.81
A1E02M04	DonA_bin_54	14.11
A1E02M04	DonA_bin_55	99.12
A1E02M04	DonA_bin_56	99.74
A1E02M04	DonA_bin_57	50.06
A1E02M04	DonA_bin_58	96.4
A1E02M04	DonA_bin_59	5.31
A1E02M04	DonA_bin_6	9.53
A1E02M04	DonA_bin_60	15.4
A1E02M04	DonA_bin_61	7.58
A1E02M04	DonA_bin_62	20.01
A1E02M04	DonA_bin_63	17.39
A1E02M04	DonA_bin_64	64.44
A1E02M04	DonA_bin_65	20.3
A1E02M04	DonA_bin_66	1.45
A1E02M04	DonA_bin_67	6.78
A1E02M04	DonA_bin_68	8.88
A1E02M04	DonA_bin_69	75.96
A1E02M04	DonA_bin_7	21.86
A1E02M04	DonA_bin_70	2.82
A1E02M04	DonA_bin_71	25.64
A1E02M04	DonA_bin_72	7.17
A1E02M04	DonA_bin_73	47.58
A1E02M04	DonA_bin_74	48.49
A1E02M04	DonA_bin_75	26.81
A1E02M04	DonA_bin_76	77.11
A1E02M04	DonA_bin_77	10.58
A1E02M04	DonA_bin_78	1.61
A1E02M04	DonA_bin_79	99.85
A1E02M04	DonA_bin_8	93.2
A1E02M04	DonA_bin_80	33.56
A1E02M04	DonA_bin_81	9.18
A1E02M04	DonA_bin_82	18.94
A1E02M04	DonA_bin_83	9.59
A1E02M04	DonA_bin_84	32.84
A1E02M04	DonA_bin_85	11.17
A1E02M04	DonA_bin_86	14.59
A1E02M04	DonA_bin_87	13.49
A1E02M04	DonA_bin_88	80.68
A1E02M04	DonA_bin_89	20.84
